hour,hour_label,day_of_week,day_name,month,month_name,age,city_pop,distance,log_amt,is_fraud,category_food_dining,category_gas_transport,category_grocery_net,category_grocery_pos,category_health_fitness,category_home,category_kids_pets,category_misc_net,category_misc_pos,category_personal_care,category_shopping_net,category_shopping_pos,category_travel
12,12:29 PM,1,Monday,10,October,49,34882,0.4413569608389663,2.19722457733622,0,False,False,False,False,False,True,False,False,False,False,False,False,False
16,04:50 PM,7,Sunday,10,October,26,19408,0.9624139353313648,0.7747271675523681,0,False,False,False,False,False,False,False,False,False,False,False,False,False
21,09:11 PM,5,Friday,9,September,33,46,0.9282207597576236,3.799302135364028,0,False,False,False,False,False,False,False,False,False,False,False,False,False
17,05:05 PM,3,Wednesday,6,June,85,73,0.4744174153264183,1.955860479908481,0,False,False,False,False,False,False,False,False,False,False,False,False,True
13,01:19 PM,7,Sunday,7,July,62,759,0.9656711528476009,2.1838015570040787,0,True,False,False,False,False,False,False,False,False,False,False,False,False
17,05:42 PM,7,Sunday,7,July,31,2872,0.8380002249271786,4.151826997635463,0,True,False,False,False,False,False,False,False,False,False,False,False,False
12,12:00 PM,5,Friday,9,September,54,519,1.063396259688733,5.03909316691274,0,False,False,False,False,False,False,True,False,False,False,False,False,False
20,08:52 PM,5,Friday,8,August,46,11256,0.366816581907085,3.762129915853529,0,False,False,False,False,False,True,False,False,False,False,False,False,False
6,06:14 AM,1,Monday,7,July,29,1490,0.6229776003565397,4.319885238136032,0,False,True,False,False,False,False,False,False,False,False,False,False,False
19,07:33 PM,4,Thursday,11,November,48,11256,0.7479952681862413,4.503026712319388,0,False,False,False,False,False,False,False,False,False,False,False,False,False
11,11:47 AM,7,Sunday,8,August,69,331,1.289586387693748,5.047031509287547,0,False,False,False,False,False,False,False,False,False,False,True,False,False
4,04:51 AM,3,Wednesday,11,November,91,276,1.0410851478860876,4.090001812787964,0,False,True,False,False,False,False,False,False,False,False,False,False,False
15,03:21 PM,6,Saturday,7,July,49,648,0.7005903250616496,4.777357228301448,0,True,False,False,False,False,False,False,False,False,False,False,False,False
16,04:22 PM,5,Friday,3,March,37,49,0.2240730691939602,5.744700464568751,1,False,False,False,True,False,False,False,False,False,False,False,False,False
15,03:13 PM,6,Saturday,6,June,62,759,0.3107530757176804,2.0906287310704004,0,False,False,False,False,False,False,False,False,False,False,False,False,True
16,04:22 PM,2,Tuesday,12,December,81,61,1.1058059744692927,3.925136644573529,0,False,False,False,False,True,False,False,False,False,False,False,False,False
12,12:08 PM,1,Monday,3,March,49,84106,0.8395637226685061,3.5779478934066544,0,False,False,False,False,False,False,False,False,False,True,False,False,False
15,03:30 PM,3,Wednesday,6,June,26,42384,0.1202928277246782,3.2204745462318978,0,False,False,False,False,False,False,False,False,False,False,True,False,False
13,01:20 PM,4,Thursday,9,September,40,1201,0.7847046290018937,4.214347354616797,0,False,False,False,False,False,False,False,False,False,False,False,False,False
8,08:14 AM,4,Thursday,7,July,64,4677,0.8515047982066869,2.2502386126218363,0,False,False,False,False,False,False,False,False,True,False,False,False,False
14,02:07 PM,5,Friday,4,April,69,331,1.059630564861162,2.226783379577764,0,False,False,False,False,False,False,False,False,False,True,False,False,False
17,05:09 PM,6,Saturday,2,February,46,105549,0.807787661505798,3.7133281345162463,0,False,False,False,False,False,True,False,False,False,False,False,False,False
8,08:17 AM,1,Monday,5,May,37,1312922,0.880582901915545,3.9630962756121466,0,False,False,True,False,False,False,False,False,False,False,False,False,False
21,09:45 PM,7,Sunday,10,October,31,35371,0.7664982261492872,4.71240893665769,0,False,False,False,False,False,True,False,False,False,False,False,False,False
20,08:14 PM,2,Tuesday,11,November,60,927396,1.0262337055047446,1.7369512327330598,0,False,False,False,False,False,False,False,False,False,False,False,False,True
12,12:53 PM,4,Thursday,10,October,58,597,1.340029525361284,6.871101668000725,1,False,False,False,False,False,False,False,False,False,False,True,False,False
22,10:56 PM,1,Monday,2,February,52,899,0.6541608681127227,6.63452822749994,1,False,False,False,False,False,False,False,True,False,False,False,False,False
21,09:24 PM,7,Sunday,10,October,67,1631,0.4914169166247736,3.82602929226117,0,False,False,False,False,False,True,False,False,False,False,False,False,False
7,07:03 AM,7,Sunday,12,December,40,509,0.901216346700394,1.7404661748405046,0,False,False,False,False,False,False,False,True,False,False,False,False,False
13,01:25 PM,5,Friday,5,May,52,757530,0.8751913296354102,4.082946517269732,0,False,False,False,False,False,False,True,False,False,False,False,False,False
9,09:18 AM,6,Saturday,11,November,34,35439,0.1629626971119478,4.221270855794487,0,False,True,False,False,False,False,False,False,False,False,False,False,False
13,01:58 PM,7,Sunday,12,December,65,602,1.0769265507080834,2.378619779270043,0,False,False,False,False,False,False,False,False,False,False,False,False,True
22,10:44 PM,7,Sunday,8,August,40,1201,0.9367942726986508,4.456786180221833,0,False,False,False,False,False,True,False,False,False,False,False,False,False
16,04:36 PM,1,Monday,5,May,64,973849,0.7147364612218887,5.05955243433087,0,False,False,False,False,False,False,True,False,False,False,False,False,False
20,08:03 PM,1,Monday,6,June,52,206,0.6672416819991107,4.294697025235496,0,False,False,False,False,False,False,False,False,False,True,False,False,False
10,10:38 AM,7,Sunday,12,December,32,151815,0.9162769076763878,4.326646051321076,0,False,True,False,False,False,False,False,False,False,False,False,False,False
19,07:28 PM,5,Friday,6,June,37,1789,0.7603224728626654,3.541249137109912,0,False,False,False,False,False,False,False,False,False,False,False,False,False
3,03:41 AM,7,Sunday,7,July,43,641349,0.510605357332828,4.043402083484526,0,False,False,True,False,False,False,False,False,False,False,False,False,False
4,04:23 AM,3,Wednesday,10,October,41,149,1.0549408732895884,4.441709636835055,0,False,False,False,True,False,False,False,False,False,False,False,False,False
20,08:40 PM,2,Tuesday,11,November,30,9772,1.2258973429308837,0.9895411936137476,0,False,False,False,False,False,False,False,False,False,False,True,False,False
20,08:37 PM,3,Wednesday,4,April,46,54287,0.9105015130069856,4.827353276207177,0,False,False,False,False,False,True,False,False,False,False,False,False,False
23,11:26 PM,7,Sunday,11,November,38,1312922,0.9930119227985124,3.74879794432518,0,False,False,False,False,False,False,False,False,False,False,True,False,False
13,01:37 PM,5,Friday,7,July,50,805,0.4647950404640745,3.666378188767423,0,False,False,False,False,False,True,False,False,False,False,False,False,False
12,12:07 PM,3,Wednesday,12,December,40,757530,1.0361873718999874,1.3987168811184478,0,False,False,False,False,False,False,False,False,False,False,False,True,False
12,12:31 PM,7,Sunday,12,December,61,308,0.8876065540637973,3.3854066957558318,0,True,False,False,False,False,False,False,False,False,False,False,False,False
13,01:42 PM,2,Tuesday,7,July,53,4878,0.7032948698326963,4.225080384211156,0,True,False,False,False,False,False,False,False,False,False,False,False,False
5,05:37 AM,2,Tuesday,12,December,39,1201,1.149120651363033,4.21419952403038,0,False,True,False,False,False,False,False,False,False,False,False,False,False
6,06:22 AM,1,Monday,2,February,69,1139,0.906574442598618,6.382103624097474,0,False,False,False,False,False,False,False,True,False,False,False,False,False
17,05:19 PM,7,Sunday,9,September,62,1120,0.8374320832001848,3.71284009155878,0,False,False,False,False,False,True,False,False,False,False,False,False,False
17,05:36 PM,5,Friday,1,January,46,123,0.8716491395464091,4.494797128506721,0,False,False,False,False,False,True,False,False,False,False,False,False,False
4,04:07 AM,3,Wednesday,6,June,43,1645,0.9469728379811164,4.467056883858457,0,False,False,False,False,False,False,False,False,False,False,True,False,False
18,06:21 PM,1,Monday,11,November,68,1925,0.5113230840652452,2.084429083190875,0,False,False,False,False,False,False,False,False,False,False,False,False,True
14,02:11 PM,1,Monday,1,January,43,320420,0.3362369357298439,5.237186366543805,0,False,False,False,False,False,False,False,False,False,False,True,False,False
17,05:35 PM,4,Thursday,7,July,63,4161,0.9020056111931934,4.700843936056374,0,True,False,False,False,False,False,False,False,False,False,False,False,False
23,11:01 PM,6,Saturday,12,December,33,46,0.6045354949942892,1.264126727145683,0,False,False,False,False,False,False,False,False,False,False,False,False,True
15,03:51 PM,4,Thursday,5,May,53,129,1.242488994737984,4.290459441148391,0,False,False,False,False,False,False,True,False,False,False,False,False,False
22,10:16 PM,4,Thursday,12,December,92,633,0.9216771399014972,4.426521874560433,0,True,False,False,False,False,False,False,False,False,False,False,False,False
6,06:12 AM,1,Monday,12,December,48,18408,0.3983300512251121,4.371092069621102,0,False,False,True,False,False,False,False,False,False,False,False,False,False
18,06:52 PM,3,Wednesday,7,July,33,760,0.4162048137984455,1.3056264580524355,0,True,False,False,False,False,False,False,False,False,False,False,False,False
9,09:31 AM,7,Sunday,11,November,77,761,0.980374421411026,3.9495114498391377,0,False,True,False,False,False,False,False,False,False,False,False,False,False
17,05:28 PM,1,Monday,12,December,84,1288,0.6351233891032565,2.8320361808832013,0,False,False,False,False,True,False,False,False,False,False,False,False,False
22,10:57 PM,1,Monday,12,December,21,1312922,0.7747289319684589,4.760206188087624,0,False,False,False,False,False,False,False,False,False,False,False,False,False
22,10:11 PM,7,Sunday,6,June,22,973849,0.4975300600215124,2.2321626286975,0,False,False,False,False,False,False,False,False,False,False,False,False,False
17,05:18 PM,6,Saturday,12,December,38,1312922,0.7815633354053906,3.466048353981772,0,False,False,False,False,False,False,True,False,False,False,False,False,False
23,11:29 PM,6,Saturday,8,August,58,247,0.8586820377217611,2.734367509419584,0,False,False,False,False,True,False,False,False,False,False,False,False,False
21,09:47 PM,7,Sunday,9,September,27,107941,0.7483495522200815,4.315619702476283,0,False,False,False,False,False,True,False,False,False,False,False,False,False
7,07:21 AM,1,Monday,5,May,28,525713,1.0035189299430236,5.269300417477544,0,False,False,False,True,False,False,False,False,False,False,False,False,False
3,03:07 AM,6,Saturday,8,August,38,241,0.2946028164563282,4.9004483350615,0,False,False,False,True,False,False,False,False,False,False,False,False,False
16,04:17 PM,2,Tuesday,12,December,65,337,0.2044036305450544,2.254444717666111,0,False,False,False,False,False,True,False,False,False,False,False,False,False
20,08:14 PM,1,Monday,6,June,35,50489,0.3555882228561547,3.94138761405805,0,False,False,False,False,True,False,False,False,False,False,False,False,False
16,04:51 PM,5,Friday,10,October,40,1201,1.0544492496393598,4.305955197722586,0,False,False,False,False,True,False,False,False,False,False,False,False,False
12,12:31 PM,1,Monday,6,June,30,35371,1.0092058701067876,3.6008675767907232,0,False,False,False,False,False,False,True,False,False,False,False,False,False
17,05:07 PM,2,Tuesday,12,December,37,1930,1.2857558077527778,4.148674906767148,0,False,False,False,False,True,False,False,False,False,False,False,False,False
22,10:44 PM,1,Monday,4,April,26,126,0.9089038347751568,4.574401652316455,0,False,False,False,False,False,True,False,False,False,False,False,False,False
19,07:41 PM,1,Monday,4,April,57,247,0.569926611256227,0.9282193027394288,0,False,False,False,False,False,False,False,False,False,False,False,False,True
18,06:33 PM,2,Tuesday,9,September,45,566,0.3580378416941447,4.442180557493629,0,False,False,False,False,False,True,False,False,False,False,False,False,False
21,09:56 PM,3,Wednesday,9,September,36,50489,1.0307871592569435,4.076859247881081,0,True,False,False,False,False,False,False,False,False,False,False,False,False
0,12:04 AM,1,Monday,6,June,61,464,0.5858841492257687,2.0980179272527715,0,False,False,False,False,False,False,False,False,False,False,False,True,False
6,06:56 AM,5,Friday,4,April,46,11256,0.9427552180142031,4.31708803351497,0,False,True,False,False,False,False,False,False,False,False,False,False,False
23,11:26 PM,1,Monday,12,December,59,628,0.9136606704340564,4.039888376426042,0,False,False,False,False,False,False,False,False,False,False,False,False,False
12,12:53 PM,1,Monday,12,December,21,895,0.9642640863295722,3.678576561118039,0,False,False,False,False,False,True,False,False,False,False,False,False,False
9,09:12 AM,7,Sunday,3,March,51,899,0.2267192279803433,2.239645293220172,0,False,False,False,False,False,False,False,False,False,False,False,True,False
11,11:29 AM,6,Saturday,12,December,51,648,0.4297267526324115,6.569172817401564,0,False,False,False,False,False,False,False,False,False,False,True,False,False
9,09:13 AM,5,Friday,8,August,69,1139,0.9954680836696848,1.2412685890696329,0,False,False,False,False,False,False,False,False,False,False,True,False,False
17,05:55 PM,2,Tuesday,7,July,25,19408,0.9382592151878884,1.998773638612381,0,False,False,False,False,False,False,False,False,True,False,False,False,False
9,09:44 AM,1,Monday,3,March,35,85,1.2503300802208197,4.823904028813601,0,False,False,False,False,False,False,False,True,False,False,False,False,False
8,08:30 AM,1,Monday,8,August,35,760,0.9532586137460284,4.155909917880256,0,False,True,False,False,False,False,False,False,False,False,False,False,False
21,09:39 PM,2,Tuesday,1,January,47,34882,1.1700987928820412,2.012232791986386,0,False,False,False,False,False,False,False,False,False,False,True,False,False
3,03:30 AM,2,Tuesday,12,December,52,206,0.7892855369110647,1.8562979903656265,0,False,False,False,False,False,False,False,False,True,False,False,False,False
21,09:31 PM,7,Sunday,8,August,46,123,0.9493534198811284,4.367420482284519,0,False,False,False,False,True,False,False,False,False,False,False,False,False
12,12:24 PM,2,Tuesday,11,November,70,467,0.3262128334967866,2.222459048514761,0,False,False,False,False,True,False,False,False,False,False,False,False,False
23,11:46 PM,7,Sunday,4,April,29,2368,0.9692440400662724,4.218330542003092,0,False,False,False,False,False,False,True,False,False,False,False,False,False
13,01:33 PM,6,Saturday,3,March,31,2872,1.0742643195140529,4.518958489169026,0,False,False,False,False,False,False,False,False,False,False,False,True,False
19,07:46 PM,2,Tuesday,7,July,28,525713,0.6250575223273374,2.2965670206684825,0,False,False,False,False,False,False,False,False,False,False,True,False,False
20,08:23 PM,7,Sunday,12,December,36,27971,0.7230860817254082,4.234251421632511,0,False,False,False,False,False,True,False,False,False,False,False,False,False
15,03:24 PM,6,Saturday,5,May,34,299480,0.6297773664558035,3.078693794268338,0,True,False,False,False,False,False,False,False,False,False,False,False,False
8,08:05 AM,7,Sunday,8,August,35,760,0.7557575897084959,4.461761602692735,0,False,False,False,True,False,False,False,False,False,False,False,False,False
7,07:03 AM,6,Saturday,4,April,49,84106,1.022911136597896,3.492560387676128,0,False,False,False,False,False,False,False,True,False,False,False,False,False
13,01:56 PM,4,Thursday,5,May,30,2368,1.1206076374405023,4.592692664476979,0,False,False,False,False,False,True,False,False,False,False,False,False,False
15,03:19 PM,7,Sunday,12,December,41,149,0.9115030272292006,3.164630810015805,0,False,False,False,False,False,True,False,False,False,False,False,False,False
11,11:08 AM,4,Thursday,12,December,27,19408,0.9289530246298776,4.026779242726335,0,False,True,False,False,False,False,False,False,False,False,False,False,False
2,02:20 AM,2,Tuesday,8,August,61,1241364,0.4629134439017787,0.7975071958841881,0,False,False,False,False,False,False,False,False,False,False,False,False,False
18,06:53 PM,7,Sunday,5,May,37,1789,0.9979291427135416,1.9671123567059163,0,False,False,False,False,False,False,False,False,False,True,False,False,False
14,02:48 PM,2,Tuesday,7,July,64,207,0.6810172777749528,2.113842968397168,0,False,False,False,False,False,False,False,False,False,False,False,False,True
6,06:14 AM,5,Friday,2,February,51,142,0.4156597720167308,5.574053367981417,0,False,False,False,False,False,False,False,True,False,False,False,False,False
5,05:19 AM,3,Wednesday,4,April,51,206,0.9404264899762304,5.072231992312906,0,False,False,False,True,False,False,False,False,False,False,False,False,False
3,03:25 AM,5,Friday,5,May,60,1241364,0.8400537447526809,3.6485781573404106,0,False,False,False,False,False,False,False,False,True,False,False,False,False
15,03:53 PM,6,Saturday,12,December,38,3684,0.5585886429368243,3.7316994512968646,0,False,False,False,False,False,True,False,False,False,False,False,False,False
23,11:46 PM,6,Saturday,5,May,19,895,1.0515302456767388,2.069391205826334,0,False,False,False,False,False,False,False,False,False,False,False,False,True
17,05:29 PM,7,Sunday,12,December,47,105549,1.0261899946735027,5.3528528991960505,0,False,False,False,False,True,False,False,False,False,False,False,False,False
21,09:48 PM,1,Monday,6,June,40,149,1.1345577826646784,4.013676659154646,0,False,False,False,False,True,False,False,False,False,False,False,False,False
9,09:16 AM,6,Saturday,11,November,46,381459,0.2853907947569511,3.976873977747762,0,False,True,False,False,False,False,False,False,False,False,False,False,False
7,07:56 AM,2,Tuesday,7,July,33,832,0.6391818233116484,4.560172820057356,0,False,False,False,False,False,False,False,True,False,False,False,False,False
1,01:19 AM,1,Monday,10,October,27,19408,0.3336277679585519,3.4137844971676268,0,False,False,False,True,False,False,False,False,False,False,False,False,False
3,03:28 AM,4,Thursday,4,April,44,964,1.143618435114179,3.51631018876266,0,False,False,False,False,False,False,False,False,True,False,False,False,False
4,04:25 AM,5,Friday,5,May,65,602,0.8305811398201972,6.588623818256766,0,False,False,False,False,False,False,False,False,True,False,False,False,False
5,05:11 AM,7,Sunday,4,April,41,149,0.7160391993913421,4.615813346086571,0,False,False,False,True,False,False,False,False,False,False,False,False,False
5,05:12 AM,1,Monday,7,July,55,923,0.6649757868110704,0.8501509293696101,0,False,False,False,False,False,False,False,False,True,False,False,False,False
19,07:17 PM,4,Thursday,4,April,47,11256,0.887739560581251,1.928618651945252,0,False,False,False,False,False,False,False,False,False,False,False,True,False
8,08:57 AM,4,Thursday,7,July,35,27971,0.9137226892509652,4.997212273764115,0,False,False,False,False,False,False,False,False,True,False,False,False,False
19,07:51 PM,2,Tuesday,7,July,30,606,0.4557060357171153,1.890095369948917,0,False,False,False,False,True,False,False,False,False,False,False,False,False
1,01:09 AM,6,Saturday,8,August,49,34882,0.2914922922342807,5.4452707795042,0,False,False,False,True,False,False,False,False,False,False,False,False,False
13,01:00 PM,2,Tuesday,5,May,38,1789,1.033991947478314,4.047427642434349,0,False,False,False,False,False,True,False,False,False,False,False,False,False
14,02:56 PM,4,Thursday,4,April,34,85,0.3988848643769324,2.110213200346589,0,False,False,False,False,False,False,True,False,False,False,False,False,False
11,11:25 AM,1,Monday,11,November,21,895,0.9242487605845092,3.686626919060642,0,False,False,True,False,False,False,False,False,False,False,False,False,False
18,06:27 PM,5,Friday,3,March,45,381459,0.4559641227783118,1.0473189942805592,0,False,False,False,False,False,False,False,False,False,False,True,False,False
3,03:59 AM,2,Tuesday,8,August,85,73,1.148968585048782,1.5830939370944983,0,False,False,False,False,False,False,False,True,False,False,False,False,False
23,11:20 PM,1,Monday,6,June,31,35371,0.7863002383949779,1.0367368849500225,0,False,False,False,False,False,False,False,False,False,False,False,True,False
23,11:08 PM,7,Sunday,9,September,34,94014,1.004433877335892,3.928486731458811,0,False,False,False,False,False,False,False,False,False,False,False,False,False
22,10:11 PM,6,Saturday,3,March,22,239,0.7485901962329004,7.036183673430756,1,False,False,False,False,False,False,False,False,False,False,True,False,False
1,01:35 AM,6,Saturday,4,April,54,519,0.9463312938057186,3.757472245579548,0,False,True,False,False,False,False,False,False,False,False,False,False,False
20,08:28 PM,6,Saturday,8,August,34,94014,0.9961071273859088,3.59922823216129,0,False,False,False,False,False,False,False,False,False,False,False,False,False
21,09:21 PM,6,Saturday,4,April,47,271,1.0211389481167592,1.9095425048844383,0,False,False,False,False,False,False,False,False,False,False,True,False,False
7,07:27 AM,7,Sunday,12,December,66,602,0.9361907592777348,4.843241757886537,0,False,False,False,False,False,False,False,False,False,False,False,False,False
10,10:31 AM,6,Saturday,7,July,44,964,0.3094491213640823,4.626050663567447,0,False,False,False,False,False,False,False,False,False,False,True,False,False
22,10:50 PM,1,Monday,10,October,76,761,1.1803242809910324,6.814520943122151,1,False,False,False,False,False,False,False,False,False,False,True,False,False
23,11:53 PM,1,Monday,12,December,91,1063,0.5302246216934844,3.6214032889890224,0,False,False,False,False,False,False,True,False,False,False,False,False,False
9,09:36 AM,3,Wednesday,10,October,47,54287,0.9450188298002208,5.374676374646786,0,False,False,False,True,False,False,False,False,False,False,False,False,False
7,07:06 AM,1,Monday,11,November,56,841711,0.6138675314178088,1.913977101952304,0,False,False,False,False,False,False,False,False,False,False,False,True,False
8,08:01 AM,2,Tuesday,5,May,49,34882,0.8307089675030548,4.337813479997556,0,False,False,True,False,False,False,False,False,False,False,False,False,False
2,02:33 AM,1,Monday,5,May,60,927396,0.4733837202703485,1.1052568313867783,0,False,False,False,False,False,False,False,False,False,False,False,True,False
15,03:05 PM,5,Friday,3,March,19,1312922,0.5317964721658102,1.0508216248317612,0,False,False,False,False,False,False,False,False,True,False,False,False,False
11,11:10 AM,2,Tuesday,12,December,77,60,0.960637840670976,3.80666248977032,0,False,False,True,False,False,False,False,False,False,False,False,False,False
22,10:15 PM,3,Wednesday,1,January,39,757530,1.0225244919609622,1.786746927404511,0,False,False,False,False,False,False,False,False,False,False,True,False,False
19,07:41 PM,2,Tuesday,2,February,43,320420,0.9032982871194856,2.902519891831812,0,True,False,False,False,False,False,False,False,False,False,False,False,False
1,01:06 AM,7,Sunday,12,December,60,927396,0.4969222053812868,5.460818795892685,0,True,False,False,False,False,False,False,False,False,False,False,False,False
22,10:36 PM,1,Monday,7,July,53,4878,0.509590022693737,6.962508580634908,1,False,False,False,False,False,False,False,False,False,False,True,False,False
14,02:38 PM,7,Sunday,12,December,61,464,0.9867926979148152,3.027230940613362,0,False,False,False,False,True,False,False,False,False,False,False,False,False
14,02:54 PM,3,Wednesday,3,March,47,271,1.0667035198685697,4.585273554273635,0,False,False,False,False,False,False,False,False,False,True,False,False,False
14,02:43 PM,7,Sunday,10,October,21,6703,0.3150667292828632,1.955860479908481,0,False,False,False,False,False,False,True,False,False,False,False,False,False
13,01:09 PM,3,Wednesday,12,December,34,94014,1.0017399818246284,6.980066638192915,0,False,False,False,False,False,False,False,False,False,False,False,True,False
6,06:56 AM,7,Sunday,7,July,50,45303,0.1873690654857455,4.1455128487965,0,False,True,False,False,False,False,False,False,False,False,False,False,False
21,09:22 PM,2,Tuesday,7,July,45,1745,0.7053598437478489,1.501852701754163,0,False,False,False,False,False,False,False,False,True,False,False,False,False
10,10:09 AM,6,Saturday,12,December,53,4878,0.8336109506586401,4.332311042427949,0,False,True,False,False,False,False,False,False,False,False,False,False,False
11,11:53 AM,3,Wednesday,2,February,43,1645,1.1182455699290708,3.3043193066856684,0,False,False,False,False,False,False,False,False,True,False,False,False,False
18,06:07 PM,1,Monday,9,September,58,597,0.9750106805697032,1.7457155307266483,0,False,False,False,False,False,False,False,False,False,False,False,False,True
16,04:01 PM,1,Monday,12,December,47,1749,0.842557272912069,4.207524426932059,0,False,False,False,False,False,False,True,False,False,False,False,False,False
21,09:40 PM,5,Friday,8,August,34,35439,1.017460296238139,2.201659174404085,0,False,False,False,False,False,False,False,False,False,False,True,False,False
22,10:50 PM,5,Friday,7,July,38,1312922,0.987283665645292,2.137710449803812,0,False,False,False,False,False,False,True,False,False,False,False,False,False
0,12:22 AM,2,Tuesday,1,January,57,597,0.8452577662476622,1.5390154481375546,0,False,False,False,False,False,False,False,False,False,False,True,False,False
14,02:14 PM,7,Sunday,9,September,47,635,0.5879111028123188,3.762594491936217,0,False,False,False,False,False,True,False,False,False,False,False,False,False
17,05:48 PM,6,Saturday,7,July,45,14871,0.9125945972149844,3.876395827784995,0,False,False,False,False,False,False,True,False,False,False,False,False,False
20,08:40 PM,1,Monday,12,December,21,1312922,0.4421304691083886,0.8501509293696101,0,False,False,False,False,False,False,False,False,True,False,False,False,False
22,10:40 PM,1,Monday,8,August,27,123373,0.5283500289817294,3.0209125720842893,0,False,False,False,False,False,False,True,False,False,False,False,False,False
23,11:04 PM,2,Tuesday,8,August,32,2872,0.5487744652969893,1.890095369948917,0,False,False,False,False,False,False,False,False,False,False,False,False,True
23,11:50 PM,6,Saturday,9,September,64,35705,0.8303636120236741,3.813527758679047,0,False,False,False,False,False,False,True,False,False,False,False,False,False
20,08:28 PM,2,Tuesday,3,March,38,509,0.4529516021673739,2.247072383063787,0,False,False,False,False,False,False,False,False,False,False,False,True,False
0,12:46 AM,5,Friday,7,July,69,1139,0.6451613577547927,2.1656192379208883,0,False,False,False,False,False,False,False,False,False,False,False,True,False
22,10:46 PM,6,Saturday,7,July,59,927396,0.2894951130295591,4.324529928325356,0,True,False,False,False,False,False,False,False,False,False,False,False,False
0,12:34 AM,6,Saturday,6,June,46,18408,0.7990671881600302,4.244200317766478,0,False,True,False,False,False,False,False,False,False,False,False,False,False
13,01:26 PM,6,Saturday,5,May,48,84106,0.9633993410631954,3.80666248977032,0,False,False,False,False,False,False,False,False,False,False,True,False,False
20,08:43 PM,7,Sunday,6,June,48,271,0.8415067281590819,2.340843805111136,0,True,False,False,False,False,False,False,False,False,False,False,False,False
4,04:11 AM,5,Friday,1,January,49,648,0.7413617432387591,2.315501318260592,0,False,False,False,False,False,False,False,False,False,False,True,False,False
20,08:47 PM,7,Sunday,10,October,31,1847,0.8055967227347683,2.640484881606444,0,False,False,False,False,False,True,False,False,False,False,False,False,False
5,05:20 AM,2,Tuesday,3,March,31,606,1.0879094984859683,3.926714554171136,0,False,True,False,False,False,False,False,False,False,False,False,False,False
