category,amt,city,state,lat,long,city_pop,job,merch_lat,merch_long,is_fraud,age,trans_hour,trans_dayofweek,distance_km
gas_transport,40.75,Tomales,CA,38.2427,-122.9145,337,Occupational psychologist,37.767776,-122.881359,0,64,0,3,52.888907469225124
kids_pets,22.38,Burbank,WA,46.1966,-118.9017,3684,Musician,46.278325,-117.97493,0,38,21,2,71.85469905291797
gas_transport,51.03,Luray,MO,40.4931,-91.8912,519,Town planner,40.354143,-91.241506,0,54,1,1,57.12541557641127
shopping_net,117.91,Phoenix,AZ,33.5623,-112.0559,1312922,Contractor,33.026511,-111.133111,0,37,23,4,104.42829795488541
kids_pets,64.36,Huslia,AK,65.6899,-156.292,277,"Engineer, civil (consulting)",66.626719,-156.775616,0,54,12,1,106.41239895280607
home,52.99,Riverton,WY,43.0351,-108.2024,19408,"Lecturer, higher education",43.774709,-107.89425,0,25,18,2,85.92564144712732
shopping_net,4.11,Redford,MO,37.3272,-91.0243,241,Investment analyst,38.112788,-90.890456,0,44,16,5,88.14306765861473
food_dining,16.03,Sutherland,NE,41.1558,-101.136,1789,Insurance broker,40.593222,-100.998898,0,38,20,6,63.60903557085201
health_fitness,73.5,Meadville,MO,39.7795,-93.3014,964,Tourist information centre manager,39.921891,-93.129264,0,44,18,2,21.601381851267842
personal_care,80.16,Tomales,CA,38.2427,-122.9145,337,Occupational psychologist,39.210164,-122.496155,0,65,12,4,113.53298029794713
home,102.75,Indian Wells,CA,33.7163,-116.3381,4677,Learning mentor,33.458995,-116.418742,0,65,12,1,29.570060832369112
home,73.52,Espanola,NM,35.9866,-106.0654,18408,Historic buildings inspector/conservation officer,35.946295,-105.498575,0,46,21,1,51.208879441115144
health_fitness,336.12,San Diego,CA,33.0067,-117.069,1241364,Chartered public finance accountant,33.179538,-117.628669,0,60,14,0,55.56657690647896
misc_pos,34.95,Kissee Mills,MO,36.6704,-93.0377,1201,"Engineer, agricultural",36.185585,-92.177907,0,39,10,4,93.9325375580886
shopping_pos,4.25,North Loup,NE,41.4972,-98.7858,509,"Nurse, children's",42.08497,-98.88076,0,39,20,1,65.82947188858437
grocery_pos,121.92,Redford,MO,37.3272,-91.0243,241,Investment analyst,37.208267,-91.289565,0,45,7,1,26.942450619833444
entertainment,74.14,Helm,CA,36.4992,-120.0936,123,Early years teacher,37.354647,-120.909421,0,46,13,2,119.61031412148373
food_dining,27.43,Jelm,WY,41.0539,-106.0763,100,Public librarian,41.969288,-105.861684,0,45,18,1,103.34315256429154
misc_net,4.25,Cascade Locks,OR,45.67100000000001,-121.8686,1288,Barrister,45.872493,-120.893428,0,84,8,6,78.88294537774068
shopping_net,1.55,Lowell,OR,43.92100000000001,-122.7806,1420,Systems analyst,43.027478,-122.69484,0,53,3,0,99.59580200949627
home,6.77,Superior,AZ,33.2887,-111.0985,2872,Petroleum engineer,34.060926,-110.207851,0,33,16,6,119.01920342247256
entertainment,155.47,Colorado Springs,CO,38.8881,-104.6556,525713,Museum/gallery exhibitions officer,37.934956,-104.057641,0,27,14,5,118.0971544271158
gas_transport,45.31,Loving,NM,32.274,-104.0914,1925,Educational psychologist,31.970142,-103.770603,0,68,10,3,45.32388742904669
gas_transport,71.53,Napa,CA,38.4549,-122.2564,94014,Airline pilot,38.4794,-122.232363,0,33,5,5,3.4352704161379597
kids_pets,22.97,San Jose,CA,37.3304,-121.7913,973849,Geoscientist,37.385323,-121.686411,0,23,17,1,11.101383834917053
misc_net,2.3,Phoenix,AZ,33.5623,-112.0559,1312922,Contractor,33.308769,-112.621479,0,37,7,6,59.57402249986003
misc_net,3.0,High Rolls Mountain Park,NM,32.9396,-105.8189,899,Naval architect,32.965171000000005,-106.432449,0,51,3,3,57.318416831114426
misc_net,26.07,Moriarty,NM,34.9889,-106.0609,7268,"Therapist, art",34.374026,-106.233503,0,30,22,6,70.16879844343244
grocery_pos,114.08,Ashford,WA,46.7531,-121.9898,759,Video editor,47.506307,-121.918805,0,64,11,4,83.92481580108505
shopping_net,5.38,Unionville,MO,40.4815,-92.9951,3805,"Investment banker, corporate",41.249086,-92.154226,0,69,3,6,110.83564356458417
grocery_pos,51.55,Norwalk,CA,33.9056,-118.0818,105549,Firefighter,34.643201,-117.766253,0,47,10,2,86.9914429334089
personal_care,36.99,Mendon,UT,41.71,-111.9817,2078,"Scientist, audiological",40.74232,-111.61404,0,57,13,2,111.90779325359446
food_dining,57.0,Kissee Mills,MO,36.6704,-93.0377,1201,"Engineer, agricultural",36.330354,-93.60764,0,40,15,1,63.44239029404147
shopping_net,2.1,Superior,AZ,33.2887,-111.0985,2872,Petroleum engineer,32.585116,-111.52347,0,31,20,0,87.7127273333492
personal_care,32.35,High Rolls Mountain Park,NM,32.9396,-105.8189,899,Naval architect,32.114794,-105.909721,0,52,14,0,92.10862900442578
home,5.99,Ashford,WA,46.7531,-121.9898,759,Video editor,46.520524,-122.573496,0,63,13,0,51.52449906372532
shopping_net,75.3,Kansas City,MO,38.9621,-94.5959,545147,Counsellor,38.885951,-95.349724,0,32,14,4,65.75858469383721
home,51.25,Holstein,NE,40.4542,-98.6538,331,Telecommunications researcher,40.942157,-98.556528,0,69,14,0,54.87450880827837
misc_pos,91.95,Altonah,UT,40.3207,-110.436,302,"Sales professional, IT",40.009276,-109.481377,0,29,12,3,88.19978737695601
shopping_pos,29.48,Rock Springs,WY,41.606,-109.23,27971,Music therapist,41.390522,-109.006455,0,35,21,5,30.342848470150344
health_fitness,64.92,Rock Springs,WY,41.606,-109.23,27971,Music therapist,41.816393,-109.569685,0,34,12,6,36.63809560136042
shopping_net,43.64,Sun City,CA,33.7467,-117.1721,54287,"Designer, exhibition/display",33.294673,-117.557302,0,47,17,0,61.65620577205479
misc_pos,12.55,Hawthorne,CA,33.9143,-118.3493,93193,"Editor, magazine features",34.026146000000004,-117.371506,0,24,23,1,91.02256353376424
home,93.36,Oakland,CA,37.7878,-122.1884,381459,Barista,37.162069,-122.769528,0,46,14,1,86.4345273403082
misc_pos,7.54,Llano,NM,36.1486,-105.6648,247,Architectural technologist,35.979149,-105.257445,0,58,8,0,41.17894669361823
misc_pos,1.15,Parks,AZ,35.2563,-111.95,759,"Geologist, engineering",35.750659000000006,-111.724797,0,63,1,1,58.62845525007975
gas_transport,42.93,Hooper,NE,41.6414,-96.5232,1745,"Engineer, automotive",41.677481,-96.068729,0,46,8,5,37.96757527127416
shopping_pos,17.98,Mound City,MO,40.1362,-95.2138,1631,Architect,40.701241,-95.713071,0,66,7,3,75.72280668767313
grocery_pos,107.24,Hooper,NE,41.6414,-96.5232,1745,"Engineer, automotive",41.575289,-97.139869,0,45,0,6,51.794446682845
food_dining,40.43,Gardiner,OR,43.7857,-124.1437,260,"Engineer, maintenance",44.498366,-123.265745,0,63,21,1,105.77043262230144
personal_care,72.32,Azusa,CA,34.1248,-117.9031,59705,Civil Service fast streamer,34.293937,-118.238641,0,37,18,1,36.13527953311818
misc_pos,4.1,Laramie,WY,41.4247,-105.4781,35371,"Pilot, airline",40.570054,-104.945833,0,32,2,2,105.00657276056798
grocery_pos,65.82,Tekoa,WA,47.2271,-117.0819,895,Clothing/textile technologist,46.61879,-117.277311,0,21,11,6,69.24975313519775
misc_net,9.47,Redford,MO,37.3272,-91.0243,241,Investment analyst,36.817283,-91.659382,0,44,10,5,79.93450868177476
grocery_net,57.26,Dumont,CO,39.7532,-105.6356,565,Mental health nurse,39.036494,-105.290662,0,40,7,5,85.02751327023356
shopping_pos,5.71,Manley,NE,40.9207,-96.168,206,Human resources officer,40.633368,-96.595273,0,51,3,0,48.11630468352279
food_dining,71.99,Altonah,UT,40.3207,-110.436,302,"Sales professional, IT",39.80002,-110.150564,0,29,13,2,62.78652714729584
grocery_pos,48.04,Owensville,MO,38.3511,-91.4867,6703,Naval architect,39.092107,-91.305225,0,21,10,6,83.88675948267209
misc_pos,3.43,San Diego,CA,33.0067,-117.069,1241364,Chartered public finance accountant,32.994707,-117.474744,0,59,7,4,37.8611944211588
misc_pos,4.67,Ballwin,MO,38.577,-90.5255,92608,"Engineer, communications",39.116187,-90.958098,0,18,20,0,70.69712657848044
gas_transport,68.45,Pueblo,CO,38.2352,-104.66,151815,Further education lecturer,39.128727000000005,-105.489372,0,32,10,2,122.69436091508288
personal_care,34.26,Luray,MO,40.4931,-91.8912,519,Town planner,40.145315,-91.466337,0,53,14,5,52.84843896173094
home,25.83,Carlotta,CA,40.507,-123.9743,1139,"Therapist, occupational",41.065031,-123.770186,0,68,16,0,64.38583695552843
home,28.11,Sprague,NE,40.6267,-96.7456,142,Chiropodist,40.789797,-97.699677,0,52,21,1,82.43845771312219
grocery_pos,175.19,Huslia,AK,65.6899,-156.292,277,"Engineer, civil (consulting)",66.020044,-155.698892,0,53,10,0,45.55619449011009
shopping_net,92.03,Meadville,MO,39.7795,-93.3014,964,Tourist information centre manager,40.236481,-93.351665,0,44,1,6,50.993987917550754
shopping_net,1.1,Superior,AZ,33.2887,-111.0985,2872,Petroleum engineer,33.899737,-110.114993,0,33,19,5,113.6420080534151
gas_transport,61.39,Moab,UT,38.5677,-109.5271,9772,Location manager,38.107176,-109.320129,0,29,3,2,54.296482924584716
shopping_net,192.53,Sun City,CA,33.7467,-117.1721,54287,"Designer, exhibition/display",33.937238,-117.217774,0,46,13,3,21.60270138319687
travel,6.37,Meredith,CO,39.3199,-106.6596,61,Public relations account executive,39.761023,-107.061482,0,79,22,5,59.94625555992269
entertainment,22.68,Llano,NM,36.1486,-105.6648,247,Architectural technologist,36.46727,-104.900035,0,58,22,1,77.14642832038398
kids_pets,11.87,Clarksville,MO,39.3465,-90.9362,1146,Exercise physiologist,39.766432,-90.810809,0,90,20,0,47.91572852328222
misc_pos,6.95,Matthews,MO,36.7154,-89.6287,1019,Aeronautical engineer,35.964556,-90.075517,0,40,18,3,92.58621653135727
food_dining,10.34,Luray,MO,40.4931,-91.8912,519,Town planner,39.863818,-92.506175,0,53,22,2,87.32595630780301
health_fitness,26.77,Mound City,MO,40.1362,-95.2138,1631,Architect,39.395731,-94.303782,0,67,18,1,113.26425975401914
gas_transport,84.36,Hatch,UT,37.7175,-112.4777,258,Geoscientist,37.323968,-112.179648,0,58,2,4,51.04674567361001
shopping_pos,1.51,Burlington,WA,48.4786,-122.3345,14871,Public house manager,49.161462,-121.555669,0,46,19,2,94.95614995862226
grocery_pos,250.95,Sun City,CA,33.7467,-117.1721,54287,"Designer, exhibition/display",33.143716,-117.754255,0,46,4,5,86.09853748798314
grocery_net,52.14,Ravenna,NE,41.0233,-98.9041,2202,"Solicitor, Scotland",41.014485,-98.781166,0,46,5,4,10.360119919758125
shopping_pos,2.6,Corona,CA,33.8419,-117.6043,233717,Wellsite geologist,33.720106,-117.155742,0,54,9,5,43.61247894190435
home,69.52,Fiddletown,CA,38.5234,-120.6763,832,Immigration officer,39.279625,-121.466957,0,33,23,6,108.40589498380783
gas_transport,67.99,Meadville,MO,39.7795,-93.3014,964,Tourist information centre manager,39.840014,-94.211019,0,45,7,0,77.98750735329963
entertainment,7.74,Kansas City,MO,38.9621,-94.5959,545147,Counsellor,39.05314,-95.095478,0,32,22,4,44.3373007843408
grocery_pos,208.84,Meridian,ID,43.6498,-116.4306,84106,Intelligence analyst,43.222457,-116.603828,0,49,0,6,49.534111754108956
personal_care,6.99,Holstein,NE,40.4542,-98.6538,331,Telecommunications researcher,40.975169,-99.092194,0,68,23,4,68.70924369284221
shopping_pos,852.04,Rock Springs,WY,41.606,-109.23,27971,Music therapist,41.615892,-109.870404,0,35,15,2,53.252664929876666
kids_pets,56.19,Manville,WY,42.73,-104.7024,241,Educational psychologist,42.884301,-104.725491,0,39,14,6,17.260583932184577
shopping_pos,3.51,Freedom,WY,43.0172,-111.0292,471,"Education officer, museum",43.259105,-111.94851,0,52,1,0,79.29375904952077
personal_care,74.22,Helm,CA,36.4992,-120.0936,123,Early years teacher,35.928486,-120.514044,0,47,15,6,73.82397852680907
health_fitness,72.56,Alva,WY,44.6873,-104.4414,110,"Administrator, local government",45.652002,-104.548604,0,47,18,4,107.59864411644809
personal_care,62.04,Superior,AZ,33.2887,-111.0985,2872,Petroleum engineer,33.200876,-111.215729,0,31,15,3,14.636161803812398
shopping_net,2.29,Espanola,NM,35.9866,-106.0654,18408,Historic buildings inspector/conservation officer,36.948427,-106.07908799999998,0,47,19,1,106.95728626441814
gas_transport,75.65,Brashear,MO,40.1959,-92.4333,805,Private music teacher,39.681416,-92.090753,0,49,0,6,64.23112001634124
travel,5.18,Ruidoso,NM,33.3305,-105.6933,8874,Licensed conveyancer,32.451321,-105.345099,0,20,21,4,103.02446721405694
home,44.59,High Rolls Mountain Park,NM,32.9396,-105.8189,899,Naval architect,33.729559,-105.967235,0,51,18,2,88.91377330462163
home,40.2,Laguna Hills,CA,33.615,-117.7114,45303,Sales executive,33.648471,-117.173726,0,50,16,3,49.91809456370288
entertainment,63.41,Norwalk,CA,33.9056,-118.0818,105549,Firefighter,34.541195,-117.308406,0,47,21,1,100.25477380412343
food_dining,67.25,Fort Washakie,WY,43.0048,-108.8964,1645,Freight forwarder,42.069304,-109.549825,0,43,21,5,116.98988839631093
gas_transport,64.55,Omaha,NE,41.2064,-95.9953,518429,"Surveyor, land/geomatics",40.495915,-95.71635,0,23,6,5,82.41250414218577
home,180.48,Kansas City,MO,38.9621,-94.5959,545147,Counsellor,39.553938,-95.562861,0,32,15,0,106.12193122497202
